report_dt,segment,replenishable_flg,subtraction_flg,target_maturity_days,open_month,close_month,balance,renewal_cnt,operations_in_month,early_withdrawal_in_month,report_month,ew_share
2023-08-31,mass,0,0,90,2023-08,2023-11,55879333480.37,0.0,0.0,,2023-08,
2023-08-31,mass,0,0,180,2023-03,2023-09,31027686644.34,0.0,0.0,-295713002.64,2023-08,0.009530617155885945
2023-08-31,mass,0,0,180,2023-03,2023-09,30522813363.48,0.0,0.0,-191081450.73,2023-08,0.006260283036642537
2023-08-31,mass,0,0,365,2022-09,2023-09,24804012900.55,0.0,0.0,-193441170.05,2023-08,0.007798785254046965
2023-08-31,mass,0,0,180,2023-06,2023-12,17880595356.98,0.0,0.0,-484380056.68,2023-08,0.027089705180924743
2023-08-31,mass,0,0,365,2022-09,2023-09,17626996898.0,0.0,0.0,-85159238.76,2023-08,0.004831182489721909
2023-08-31,mass,0,0,180,2023-06,2023-12,16974324325.39,0.0,0.0,-549221934.99,2023-08,0.03235604106895024
2023-08-31,mass,0,0,180,2023-04,2023-10,16328784787.88,0.0,0.0,-141606542.26,2023-08,0.008672203357417455
2023-08-31,mass,0,0,180,2023-04,2023-10,15344883013.73,0.0,0.0,-188129271.09,2023-08,0.012260065516411517
2023-08-31,mass,0,0,90,2023-08,2023-11,15287646591.94,0.0,0.0,,2023-08,
2023-08-31,mass,0,0,90,2023-08,2023-11,15079207271.46,0.0,0.0,,2023-08,
2023-08-31,mass,0,0,180,2023-05,2023-11,13427300407.37,0.0,0.0,-205785786.26,2023-08,0.01532592405149794
2023-08-31,mass,0,0,180,2023-07,2024-01,12482343004.18,0.0,0.0,-1311057578.82,2023-08,0.10503297164490369
2023-08-31,mass,0,0,180,2023-05,2023-11,12457944543.35,0.0,0.0,-217336848.61,2023-08,0.017445642646243237
2023-08-31,mass,0,0,365,2022-10,2023-10,11139966546.87,0.0,0.0,-109516313.99,2023-08,0.009830937420612884
2023-08-31,mass,0,0,180,2023-07,2024-01,11048885582.45,0.0,0.0,-1401951068.24,2023-08,0.1268861966012982
